pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
-1.840362278039115118e+00,6.820921741771954316e+00,-9.777726740318113841e+00,2.527701834947162141e+01
3.203093922938990978e+00,6.699247680907646441e+00,-7.338370509738312286e+00,2.466842181159872638e+01
8.761213036907102847e+00,1.013072572816300543e+01,-5.302755868569724029e+00,2.413489312869566206e+01
1.547259511709131985e+01,9.116107999824221153e+00,-2.167444659868396961e+00,2.322702453976145875e+01
1.786402182599177735e+01,9.534816334203732424e+00,-1.984541298155542977e-01,2.266918835117384035e+01
1.969470205769775362e+01,8.495451166944700816e+00,1.635906000233516400e+00,2.208281888628378908e+01
2.100226104094780766e+01,7.747187086210800544e+00,4.244743455457241410e+00,2.123204694633528788e+01
2.370123775634344554e+01,7.636364058366144292e+00,5.787626280901115194e+00,2.068801078109715164e+01
2.711391503084232113e+01,5.744231679558627235e+00,8.047980340984191017e+00,1.993281934332051719e+01
2.687699845458561043e+01,4.534197050464037204e+00,9.388603217836655190e+00,1.951560102447771428e+01
2.540023753974727327e+01,4.381841980647042334e+00,1.049979921328247379e+01,1.911124218316602708e+01
2.228848055196544919e+01,3.472662003330501790e+00,1.164163673398082999e+01,1.848762839298551341e+01
2.072488759644307521e+01,2.249812672745473918e+00,1.206650368895179248e+01,1.805951955184418978e+01
1.979630079841464863e+01,1.863506880996771642e+00,1.231692103230390600e+01,1.747253526013111724e+01
1.927016333351622634e+01,2.836367258605189789e+00,1.236313965857809549e+01,1.712322833502904018e+01
1.882539602172910520e+01,1.414694886018187603e+00,1.236848221450572716e+01,1.681144299304069634e+01
1.740584603300694155e+01,1.227860928200893653e+00,1.233738803861128375e+01,1.643131944292881030e+01
1.642904088340835145e+01,1.341631200935443857e+00,1.230506269596248714e+01,1.623355094264447729e+01
1.595994873406717041e+01,1.136207800532258005e+00,1.225646632012565362e+01,1.599362454141366996e+01
1.518870456413752201e+01,1.330066319979602341e+00,1.222125213386651943e+01,1.583937781509521869e+01
1.543813474583899392e+01,1.941298983950680679e+00,1.217410525313133007e+01,1.569452814263231843e+01
1.453076965916333307e+01,1.718566964061979618e+00,1.209229151379487277e+01,1.547179612274361737e+01
1.447787168908616806e+01,1.556456112610936415e+00,1.203939354371770776e+01,1.530968527129257417e+01
1.441621372202481588e+01,1.391603753992626480e+00,1.197773557665635558e+01,1.514483291267426424e+01
1.431644872246186040e+01,-2.438302326666068609e-01,1.187797057709340010e+01,1.488191220293523109e+01
1.381660908441434543e+01,-7.372101220610591810e-01,1.179675554059084952e+01,1.469451149047117333e+01
1.301398684142285056e+01,-5.956154633972872148e-01,1.165654572004127765e+01,1.446368372528054103e+01
1.232044860022665134e+01,-8.628663070860120854e-02,1.159638070284966993e+01,1.434092483561375886e+01
1.433702513670995060e+01,7.089709773525925129e-01,1.166655264230828060e+01,1.424026356737863352e+01
1.466390176410987856e+01,-2.408711894943671439e-01,1.193678800847772159e+01,1.417856506279915862e+01
1.446407614096043659e+01,-9.400991713628421564e-01,1.205887141352061676e+01,1.408963714417115298e+01
1.519068342391908821e+01,-3.230472095353782436e-01,1.226201109957242963e+01,1.393333674753110962e+01
1.490835217745808983e+01,-5.721075128208656935e-01,1.237223054957387625e+01,1.383092014995833985e+01
1.470802115984597513e+01,2.424861531402253689e-01,1.244062727537094837e+01,1.374316987711075200e+01
1.324386769676623565e+01,9.604938229792185922e-01,1.240513899895805849e+01,1.366259312944439763e+01
1.266435918430350682e+01,2.523835983759360246e+00,1.233914397383044737e+01,1.363493443670714278e+01
1.764252678842560940e+01,2.862365583644598033e+00,1.211125482041982160e+01,1.363993522618516430e+01
9.746310856851422955e+00,2.903374377227908809e+00,1.186295092444100163e+01,1.368094401976847507e+01
6.941904565052111842e+00,2.741022654838392469e+00,1.161654806120309935e+01,1.368922899855817477e+01
1.043879616008999989e+01,3.476234237254523407e+00,1.123163056306167462e+01,1.368237666063327040e+01
