pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
1.359397174553210448e+02,1.894285582786700672e+01,1.198051831658110302e+02,3.686201956874547214e+00
1.351301407326212427e+02,1.783319406778435479e+01,1.212709149359701968e+02,5.097705593353786924e+00
1.364861647554889714e+02,1.592682599338553828e+01,1.224422796012696324e+02,6.835016797923892717e+00
1.357943372586908879e+02,1.455592783929724554e+01,1.233852487257755826e+02,8.121280308645159707e+00
1.334061664664469617e+02,1.400286781317856111e+01,1.241600393138327121e+02,9.536424659351865785e+00
1.326087744376252999e+02,1.188390983246135590e+01,1.247114299961793762e+02,1.022732101851103081e+01
1.331896272132740364e+02,1.303464373966034806e+01,1.251948968344842683e+02,1.037499321606953195e+01
1.336347308692417926e+02,1.234058779087774660e+01,1.255913446054803444e+02,1.079070730072306006e+01
1.332402606623069516e+02,1.047226136940508745e+01,1.260971897586002228e+02,1.090784215695300752e+01
1.353822378183937190e+02,9.172932447094602537e+00,1.266409716974177542e+02,1.090580427356812088e+01
1.357983536349683220e+02,9.606215355905121100e+00,1.270199407254287536e+02,1.099416901857660100e+01
1.358607404590254646e+02,9.445612521567296582e+00,1.273974004234376167e+02,1.094702506787955798e+01
1.362780414776637485e+02,1.016313517465278338e+01,1.278172534545153525e+02,1.104770914389505343e+01
1.374471814385134394e+02,1.001706034112211086e+01,1.279002476894203255e+02,1.117355472363233382e+01
1.367832584882637548e+02,8.797109206439822415e+00,1.282143648365879471e+02,1.107442022446266527e+01
1.371767583393641701e+02,9.747060435878891482e+00,1.286075604626329323e+02,1.112293805253136902e+01
1.366208644430512607e+02,1.027634937231029078e+01,1.286042419337782121e+02,1.143416416643786881e+01
1.370687402751258617e+02,8.070632734652541274e+00,1.286624941427913313e+02,1.143983035218458255e+01
1.371430411164957945e+02,5.652884349161059419e+00,1.289850110516243262e+02,1.116008375339881731e+01
1.368906760984180835e+02,4.393086215479860890e+00,1.292296393788328430e+02,1.092888849112222971e+01
1.359676341569593774e+02,2.371577500029054875e+00,1.295571664686227678e+02,1.075650586176916157e+01
1.364150468046309754e+02,3.676640236698082376e+00,1.299006137342144598e+02,1.082144233863129124e+01
1.359242956594312659e+02,4.815429213322004465e+00,1.301532627080406144e+02,1.106792128334330627e+01
1.364884361392433902e+02,1.398812482555177539e+00,1.305738657640746112e+02,1.104948892568277152e+01
1.373843030920622255e+02,3.490512339045785950e-01,1.311228208297157209e+02,1.092289566890467789e+01
1.398461387871872432e+02,1.401089706710205718e-01,1.317536841773113849e+02,1.074442463090136002e+01
1.381055683544859392e+02,-1.603953591606462226e+00,1.326506268336245853e+02,1.063007020413159154e+01
1.432402501208592298e+02,-3.094774568961753403e+00,1.337216905259818134e+02,1.061887064467073571e+01
1.452912582768696836e+02,-3.702678086715806671e+00,1.348264832768847157e+02,1.050256826507866315e+01
1.476243778098777000e+02,-3.757362738306138539e+00,1.362668902136856275e+02,1.022308154724818863e+01
1.489847583906268653e+02,-4.336374812784123733e+00,1.376272707944347928e+02,1.006703320178202965e+01
1.510253129706370316e+02,-3.867876988718030873e+00,1.390771450304910104e+02,9.903760797997088972e+00
1.530336909270909587e+02,-3.251038052607901463e+00,1.407450480304949565e+02,9.450806252701474008e+00
1.568517402203197832e+02,-2.014396913525548172e+00,1.423546896505829977e+02,9.012273389461430639e+00
1.608075694159888656e+02,-4.433904168554487768e+00,1.439953902444845255e+02,8.762096038677725574e+00
1.624412029679534726e+02,-4.883404485427677244e+00,1.456290237964491325e+02,8.309432802905631021e+00
1.639235067090732514e+02,-5.307570195834846238e+00,1.471398096683169570e+02,7.951593666135067018e+00
1.653534234106496683e+02,-7.274540773710851838e+00,1.485697263698933739e+02,7.407239754645168262e+00
1.667856119930849559e+02,-8.379332166839883911e+00,1.500019149523286615e+02,6.778225361450118669e+00
1.681421236148715934e+02,-9.511288885384475478e+00,1.513584265741153274e+02,6.148493097885758374e+00
1.689496950674160871e+02,-1.022050882657425319e+01,1.526174503861460892e+02,5.453838568058775316e+00
1.696085178625799017e+02,-1.166351233040456847e+01,1.538384713945157785e+02,4.641144234826547255e+00
1.706927407701430752e+02,-1.288389042454145184e+01,1.549226943020789520e+02,3.761187633905335836e+00
1.705286061906165287e+02,-1.363496624064995011e+01,1.559972497913422842e+02,2.955202874352275799e+00
1.707183167736149301e+02,-1.380432232951766025e+01,1.569852675815857879e+02,2.416081787453009166e+00
1.708481897660298898e+02,-1.327361133852527963e+01,1.579404635234742500e+02,1.978976130357964935e+00
1.710499307472160240e+02,-1.454144108914954359e+01,1.588496309748285569e+02,1.565034753561417524e+00
1.685093398622128404e+02,-1.553808450406120301e+01,1.595795477576847645e+02,8.723647010687255454e-01
1.688490680125986501e+02,-1.550320731600880819e+01,1.601906841051073798e+02,3.456863444303382438e-01
1.681736301589833147e+02,-1.577493965989436298e+01,1.606236087246024624e+02,-1.043008674210042647e-01
1.685111361229123190e+02,-1.565594902795905341e+01,1.609611146885314668e+02,-4.524905132311372036e-01
1.688221841554235141e+02,-1.555140260520769502e+01,1.612721627210426618e+02,-6.594828634986606986e-01
1.673204345317954562e+02,-1.521783634677681896e+01,1.613994669497436973e+02,-8.638112287394410505e-01
1.676251164881492741e+02,-1.420344605117932701e+01,1.616862739475607498e+02,-1.058351589473272902e+00
1.678299984704957240e+02,-1.315128335898742407e+01,1.620233446880769463e+02,-1.143819944965390079e+00
1.701017557341283464e+02,-1.123119213711540709e+01,1.623739065848101006e+02,-1.129955460671181466e+00
1.707085969936559877e+02,-9.915188593565449793e+00,1.629807478443377420e+02,-9.607602604576355176e-01
1.724665668111088621e+02,-1.014948489254733666e+01,1.636303551886801984e+02,-8.948692632763379784e-01
1.729196174518954479e+02,-1.008138682633704164e+01,1.644303177166444812e+02,-8.958812963665191420e-01
1.729121960336983932e+02,-9.574760588804604566e+00,1.652210670356072910e+02,-8.111886116907994770e-01
1.755860764689551274e+02,-9.521590291295234820e+00,1.660064071643075465e+02,-8.195812220393503544e-01
1.723246838523935196e+02,-6.654744519882962450e+00,1.669075875088817611e+02,-6.798704180090332505e-01
1.752456945445209726e+02,-3.727430020291787827e+00,1.679049916101778308e+02,-3.761208939402549967e-01
1.798022952239290078e+02,-3.207647452304526858e+00,1.690056658868022339e+02,-9.160715691169409036e-02
1.814922041232348988e+02,-2.375676329261097841e+00,1.703015843021129854e+02,4.010772751751028875e-01
1.843938345951507358e+02,-7.814902163026363757e-01,1.717624107303525136e+02,8.086111464694604178e-01
1.864172179460858274e+02,1.728622091121572613e+00,1.733180831661971411e+02,1.175308776840296776e+00
1.892593941746802102e+02,2.153441403085103900e+00,1.750036894598961226e+02,1.772351549973179896e+00
1.912473987214674480e+02,3.688127492210782954e+00,1.765784173788703981e+02,2.334853530115139186e+00
1.935122263533988303e+02,5.396287139099517738e+00,1.780901569916990752e+02,2.967447228353063071e+00
1.946519817841989948e+02,8.081053030692046946e+00,1.794801874850723209e+02,3.660470511248695047e+00
1.961500522343147281e+02,1.092598914481449413e+01,1.807665108029004273e+02,4.271762316716663399e+00
1.967176086300215161e+02,1.258634433385383389e+01,1.820264601862379266e+02,5.079570685250811124e+00
1.989865367929449746e+02,1.348564096714281746e+01,1.831518855207833383e+02,5.978867318539795583e+00
1.982878130896277469e+02,1.483133265488803687e+01,1.842441788490982901e+02,6.728947286569366248e+00
1.993589345996629447e+02,1.466071590704698480e+01,1.852495626949036591e+02,7.783533076156063046e+00
1.996423770955696853e+02,1.376539910379694120e+01,1.861281823682032552e+02,8.390165079340912158e+00
1.989134948914122560e+02,1.299954918390979763e+01,1.869975209086164796e+02,8.958440585851191074e+00
2.000129408343263151e+02,1.300470903666424505e+01,1.877743292624563480e+02,9.470085781790261947e+00
2.002762897623483980e+02,1.428350063677609505e+01,1.886102247847476008e+02,9.906364390331781067e+00
2.003228259048756286e+02,1.670103735074219742e+01,1.893185078789140903e+02,1.055051274676091566e+01
2.038769098593687374e+02,1.499459435666713603e+01,1.898383298563484800e+02,1.079088936477970506e+01
2.007590724804561830e+02,1.309801664667069510e+01,1.904854688400702969e+02,1.085507343302531247e+01
2.013754590490883913e+02,1.201000078029573004e+01,1.910918640057708444e+02,1.108206229449826452e+01
2.019784711400610604e+02,1.179770504346278059e+01,1.915228262263860017e+02,1.131049472470751205e+01
2.014512531436366771e+02,1.232355735645672645e+01,1.918395401936055293e+02,1.170500330100264108e+01
2.007657866635530581e+02,1.118171179532567017e+01,1.918891779827606285e+02,1.191962505095882463e+01
2.006897396508326779e+02,9.735263135517179478e+00,1.918884445502278879e+02,1.187233691224820120e+01
2.016307020468620976e+02,1.012500651044231326e+01,1.919311880253651168e+02,1.192095257609747883e+01
2.016024650068326309e+02,1.036157081122883383e+01,1.918501379143275472e+02,1.199168302711549572e+01
2.016835755000851691e+02,8.305683329431762019e+00,1.919525511906677195e+02,1.187273108982976133e+01
1.980195035288899135e+02,5.721325773113669300e+00,1.920712653552649556e+02,1.177429672179159148e+01
1.978000019032818955e+02,4.431743380820640787e+00,1.921657421086419504e+02,1.170326639633409904e+01
1.981868980427138638e+02,3.548258030439649602e+00,1.924797743784527313e+02,1.143149461184574633e+01
1.995193229740809784e+02,2.394415176435284565e+00,1.929264940725014981e+02,1.138941487848082446e+01
2.002885613527948294e+02,7.351910227143800824e-01,1.934817783193365131e+02,1.127284754736168360e+01
2.020434878040712192e+02,6.278066452245418816e-01,1.942047365811348527e+02,1.105120085853489798e+01
2.031722421128118015e+02,6.308472588633513567e-01,1.950071041538180907e+02,1.078940503015351915e+01
2.034698775146643470e+02,-1.382456677193607320e+00,1.957620793545528954e+02,1.041973200801780486e+01
2.046959086850704921e+02,-2.921599517050783135e+00,1.965782100310834153e+02,1.024673510317132674e+01
2.054962177697666732e+02,-4.629576413608047503e+00,1.973785191157795964e+02,9.953281986689093586e+00
2.079346040009213539e+02,-6.274063157069752705e+00,1.982849196425405296e+02,9.481689306685238350e+00
