pre_gaze_horizontal,pre_gaze_vertical,measured_head_horizontal,measured_head_vertical
-4.959712652187377557e+00,6.267802790404314095e+00,-9.763610938746969836e+00,1.880148824968978616e+01
-7.223060363620428248e-01,6.984188189029321592e+00,-8.474842286140992442e+00,1.873325396882908578e+01
-1.974943204931459917e+00,9.377777379564621540e+00,-7.481949115790779814e+00,1.881560376038535765e+01
1.706662521038015967e+00,1.088503568651502462e+01,-5.756577706776823788e+00,1.900023335306370598e+01
2.514592858371992534e+00,1.022544680625708935e+01,-4.394683648535947285e+00,1.926759730922204383e+01
3.241359561887565022e+00,1.102609989080221631e+01,-2.835080819163537491e+00,1.958183561015457386e+01
7.525434800456169526e+00,1.400652837305554499e+01,-4.026971468484624728e-01,2.003229738195402021e+01
1.311437388956167283e+01,1.597013701112604878e+01,1.321647687676780647e+00,2.047913073699586661e+01
1.702057119360425474e+01,2.233249423339217543e+01,3.962655068829668892e+00,2.111343148728267494e+01
1.941528197624893792e+01,2.318178102213273917e+01,5.734726964143828098e+00,2.162163343281510564e+01
2.083562716042000673e+01,2.631946097962505604e+01,7.419401654652929778e+00,2.215211068262185279e+01
2.461279786488589139e+01,3.005396298039582348e+01,9.670782218607593350e+00,2.296582417266438014e+01
2.524907414723688248e+01,3.326852940148593518e+01,1.091045141573843047e+01,2.359949984003216272e+01
2.360183947315933395e+01,3.170415608831665111e+01,1.240282054518569943e+01,2.446741206578864336e+01
2.318464130980571980e+01,3.222686344208287323e+01,1.320654520548536226e+01,2.503047022997452942e+01
2.109223876314347024e+01,3.266007307622871991e+01,1.384444635526695677e+01,2.557907706069618925e+01
2.412686453474557524e+01,3.235120189911792465e+01,1.450708450729282895e+01,2.621287725306109095e+01
2.352350416856944548e+01,3.167533639073225160e+01,1.474485646872844313e+01,2.649537700235327264e+01
2.437481117306096223e+01,3.069789307264835188e+01,1.481958860647991294e+01,2.670289906023868554e+01
2.443916519471260429e+01,2.875982773542150284e+01,1.468532523392473266e+01,2.689903033327040660e+01
3.137387832836227375e+01,2.496287569228061187e+01,1.440632370201253742e+01,2.696058862707166526e+01
2.124241502165205020e+01,2.500223572576159015e+01,1.386000838158094339e+01,2.699994866055264353e+01
2.178453046603662102e+01,2.495245671495613138e+01,1.343201831201622198e+01,2.700039239120161128e+01
2.476494734886638227e+01,2.496172819704582935e+01,1.300080261151860483e+01,2.700966387329130924e+01
1.989489340576151477e+01,2.415435036948323955e+01,1.242476611746962156e+01,2.701778032387414186e+01
1.882314913560212233e+01,2.318101480054243169e+01,1.208494398736011632e+01,2.696638097447520011e+01
1.881263194455903687e+01,2.199219495498596899e+01,1.161961719151533323e+01,2.684057361809615827e+01
1.866138169930834678e+01,1.966888598787032905e+01,1.136441277787923987e+01,2.676757274533906994e+01
9.605347900881465506e+00,1.853722807622638413e+01,1.112622874485928293e+01,2.668123592042006109e+01
1.373026814859534817e+01,1.748231411330100116e+01,1.079296037762662586e+01,2.649127217919963684e+01
1.502499329880210155e+01,1.647980807715084950e+01,1.060860930795738710e+01,2.636609565733757421e+01
1.512175030749882509e+01,1.641999850872554845e+01,1.035183099610520152e+01,2.626508880090975140e+01
1.602092749496711832e+01,1.607080036664745037e+01,1.018806826881931471e+01,2.620649824284488716e+01
1.511846711181712877e+01,1.434775565379373141e+01,1.003051107778754591e+01,2.606399751132264697e+01
2.010075135458298234e+01,1.311316886161973017e+01,9.773064711223780066e+00,2.582567446427099611e+01
1.191973156913476473e+01,1.071784521598579509e+01,9.570894753239237218e+00,2.564236218013327573e+01
5.593387950370162898e+00,8.464204062453649868e+00,9.242519550263512684e+00,2.516219857931297099e+01
6.295040206586183018e+00,7.626054818953381442e+00,9.002383280642090924e+00,2.475394018068765689e+01
6.223648778696523998e+00,3.851435732988285565e+00,8.756888904579314570e+00,2.419622349400613714e+01
6.178134480976243736e+00,-7.733888966900437367e-02,8.377112693520063047e+00,2.308566753821364514e+01
6.129442471411571169e+00,-1.787839185611741044e+00,8.120254684595991534e+00,2.220530375779944166e+01
5.419070723354390218e+00,-2.328849861665695187e+00,7.648314745241847845e+00,2.083415656621695433e+01
1.908838809669167524e+00,-3.027254051327410878e+00,7.302019783709766010e+00,1.989061979287293269e+01
1.529906429953928004e+00,-3.967964242976211864e+00,6.923087403994526490e+00,1.894990960122413171e+01
