time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
657.1615,110,-0.1249198,-0.1834465,-0.02350907,0.9747768,-0.3517653,0.2521631,0.9014848
657.1962,111,-0.1251882,-0.1723855,-0.02209336,0.9767923,-0.3312379,0.2521829,0.9092223
657.2239,112,-0.1221651,-0.1706637,-0.02132918,0.9774941,-0.3284341,0.2461116,0.9118992
657.2661,113,-0.1197602,-0.170524,-0.0208851,0.9778256,-0.328483,0.241332,0.9131581
657.2939,114,-0.1190396,-0.1664725,-0.02024967,0.9786248,-0.3210072,0.2397323,0.9162329
657.3358,115,-0.1201407,-0.1679847,-0.02063107,0.9782237,-0.323696,0.2419804,0.9146947
657.3637,116,-0.1200617,-0.1680167,-0.02062134,0.9782282,-0.3237656,0.241825,0.9147112
657.3922,117,-0.1208946,-0.1679804,-0.02076202,0.9781289,-0.323593,0.2434762,0.9143341
657.433,118,-0.1306116,-0.1515692,-0.02020956,0.9795708,-0.2916663,0.2620129,0.9199348
657.4611,119,-0.130757,-0.1515899,-0.0202353,0.9795477,-0.2916873,0.2623003,0.9198462
657.4892,120,-0.1269611,-0.1512328,-0.01959023,0.9801152,-0.2914767,0.2547983,0.9220191
657.5311,121,-0.1271751,-0.1504951,-0.0195258,0.9802023,-0.2900649,0.2551917,0.9223554
657.5589,122,-0.127034,-0.1514819,-0.01963473,0.9800664,-0.291936,0.2549521,0.9218312
657.6009,123,-0.1313489,-0.1506077,-0.02019368,0.9796209,-0.289772,0.2634269,0.9201296
657.6286,124,-0.1313047,-0.1504623,-0.02016679,0.9796497,-0.2895046,0.2633338,0.9202404
657.6566,125,-0.1312337,-0.1511898,-0.02025551,0.9795454,-0.2908782,0.2632235,0.9198387
657.6985,126,-0.1308026,-0.1522148,-0.02032799,0.9794428,-0.2928535,0.2624159,0.9194427
657.7264,127,-0.1307784,-0.1524641,-0.02035826,0.9794066,-0.2933238,0.2623783,0.9193034
