time,frame,eyeClosed,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z,x,y,TF_eyeClosed,frame_range,count_1
1176.539,72,6.696034e-18,-0.1037372,-0.2215807,-0.02371373,0.9693184,-0.4246445,0.2116178,0.8802812,-0.4494658,0.2132299,0,,
1176.578,73,4.712103e-18,-0.1196226,-0.2684263,-0.03361399,0.9552528,-0.504788,0.2465854,0.8272755,-0.5478721,0.2491553,0,,
1176.608,74,3.3168460000000002e-18,-0.1194611,-0.2769609,-0.03472532,0.9527937,-0.5194766,0.2468788,0.8180434,-0.5657746,0.249458,0,,
1176.635,75,3.3168460000000002e-18,-0.1168836,-0.2793524,-0.03428248,0.9524312,-0.5241137,0.2418009,0.8166009,-0.5706058,0.2442214,0,,
1176.677,76,1.644429e-18,-0.116949,-0.2802326,-0.03441957,0.9521596,-0.5256017,0.2419993,0.8155853,-0.5724618,0.2444258,0,,
1176.706,77,1.15815e-18,-0.117217,-0.281557,-0.03467726,0.9517265,-0.527801,0.2426443,0.8139716,-0.5752684,0.2450907,0,,
1176.745,78,8.157405999999999e-19,-0.1171992,-0.281625,-0.03468104,0.9517084,-0.5279205,0.2426131,0.8139035,-0.5754101,0.2450585,0,,
1176.775,79,5.746385e-19,-0.1143138,-0.2795935,-0.03354828,0.9526985,-0.5250665,0.236573,0.8175197,-0.5709203,0.2388371,0,,
1176.803,80,5.746385e-19,-0.1066045,-0.1876874,-0.02049589,0.9762115,-0.3620753,0.2158307,0.9068178,-0.3798866,0.2175425,0,,
1176.845,81,2.8523439999999996e-19,-0.1080234,-0.1625711,-0.01790888,0.9806023,-0.3149661,0.217679,0.9238032,-0.3285854,0.2194358,0,,
1176.873,82,2.0096849999999997e-19,-0.1020359,-0.1604631,-0.01667971,0.981612,-0.3116211,0.2056724,0.9276806,-0.3240716,0.2071507,0,,
1176.902,83,2.0096849999999997e-19,-0.1014029,-0.1600501,-0.01653127,0.9817475,-0.3109049,0.2043957,0.9282029,-0.3232081,0.2058463,0,,
1176.942,84,9.978401999999999e-20,-0.1011758,-0.1599689,-0.01648527,0.9817849,-0.3107743,0.2039401,0.9283468,-0.3230349,0.2053809,0,,
1176.97,85,9.978401999999999e-20,-0.103443,-0.1582524,-0.01667316,0.9818237,-0.3073025,0.2084027,0.9285114,-0.3196153,0.2099415,0,,
1177.012,86,4.954947e-20,-0.1042703,-0.1581047,-0.01679195,0.9817579,-0.3069394,0.2100461,0.9282612,-0.3193431,0.2116221,0,,
1177.04,87,3.491706e-20,-0.09958179,-0.1598985,-0.01621544,0.9819639,-0.3107996,0.2007571,0.9290318,-0.3228374,0.2021307,0,,
1177.079,88,2.4607489999999997e-20,-0.1003823,-0.159856,-0.01634272,0.9818872,-0.3106401,0.2023531,0.9287389,-0.3227779,0.2037601,0,,
1177.109,89,1.734125e-20,-0.107601,-0.1401667,-0.01532505,0.9841446,-0.2725905,0.2160859,0.9375507,-0.2829469,0.2178039,0,,
1177.139,90,1.2221209999999999e-20,-0.1152074,-0.07805019,-0.009080686,0.9902288,-0.1524828,0.2295808,0.9612709,-0.1573155,0.2316469,0,,
1177.179,91,8.612737e-21,-0.1151117,-0.07418627,-0.008621254,0.990541,-0.1449842,0.2293248,0.9624914,-0.1495103,0.231384,0,,
1177.207,92,6.0697099999999995e-21,-0.1129255,-0.07403196,-0.008437672,0.9908057,-0.1447969,0.2250237,0.9635342,-0.1491607,0.2269673,0,,
1177.246,93,4.277727e-21,-0.1126635,-0.07549146,-0.008584764,0.9907241,-0.147648,0.2245331,0.9632159,-0.1521026,0.2264639,0,,
1177.276,94,3.014789e-21,-0.112898,-0.07656501,-0.008725939,0.9906138,-0.1497224,0.2250128,0.9627837,-0.1542742,0.2269562,0,,
1177.305,95,2.124725e-21,-0.1121324,-0.07720116,-0.008738447,0.9906513,-0.1509991,0.2235175,0.9629326,-0.155545,0.2254218,0,,
1177.346,96,1.497443e-21,-0.1131174,-0.07691395,-0.00878321,0.9905612,-0.1503889,0.2254506,0.9625774,-0.1549827,0.2274055,0,,
1177.385,97,1.055273e-21,-0.1124895,-0.07632697,-0.008666763,0.9906791,-0.1492812,0.224205,0.9630406,-0.1537864,0.2261272,0,,
1177.414,98,7.437694000000003e-22,-0.112814,-0.07574102,-0.008624969,0.9906876,-0.1481253,0.2248334,0.9630726,-0.1526091,0.2267721,0,,
1177.443,99,5.241909e-22,-0.1132859,-0.07611481,-0.008704515,0.9906044,-0.1488271,0.225768,0.9627457,-0.1533721,0.2277313,0,,
1177.471,100,3.694347e-22,-0.1168279,-0.07723926,-0.009113907,0.9901022,-0.15082,0.232751,0.9607707,-0.1557074,0.2349054,0,,
