time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
656.1848,81,0.192696,0.1364446,0.03014783,-0.9712581,-0.2534271,0.3825421,0.8885022
656.2131,82,0.1919623,0.1356097,0.03032051,-0.9715149,-0.2518529,0.3812119,0.889521
656.2409,83,0.1912203,0.1350954,0.03028218,-0.971734,-0.2509724,0.3798126,0.890368
656.2822,84,0.1903756,0.1347822,0.03004914,-0.9719506,-0.2505621,0.3781714,0.8911818
656.3109,85,0.1898998,0.1348054,0.02977516,-0.9720489,-0.2507662,0.3772116,0.8915311
656.3514,86,0.1893389,0.1349829,0.02916754,-0.9721521,-0.2514028,0.3760067,0.8918608
656.3796,87,0.1893699,0.1350308,0.02881096,-0.97215,-0.2516286,0.3759726,0.8918115
656.4322,88,0.1894931,0.1344417,0.02763407,-0.9722419,-0.2509468,0.3758966,0.8920355
656.4575,89,0.1894835,0.1336586,0.02675901,-0.9723761,-0.2497922,0.3756516,0.8924627
656.4896,90,0.1892933,0.1331208,0.0264525,-0.9724954,-0.2489042,0.3752166,0.8928938
656.52,91,0.1892905,0.1327061,0.02606144,-0.9725631,-0.2482638,0.3751109,0.8931164
656.5504,92,0.1893461,0.1324933,0.02569379,-0.9725911,-0.2479936,0.3751211,0.8931872
656.58,93,0.1892089,0.1325454,0.02556916,-0.9726139,-0.2481551,0.3748325,0.8932635
656.6088,94,0.1890536,0.1326519,0.02552073,-0.9726309,-0.248393,0.3745294,0.8933245
656.6514,95,0.1888164,0.1331511,0.02502264,-0.9726217,-0.2495619,0.3739575,0.8932383
656.681,96,0.1887929,0.1335879,0.02508242,-0.9725649,-0.250375,0.3739281,0.893023
656.7097,97,0.1884941,0.1338921,0.02531143,-0.972575,-0.250898,0.3734272,0.8930858
656.7499,98,0.1879376,0.1342931,0.02532152,-0.9726272,-0.2517165,0.3723876,0.8932896
656.7793,99,0.1877333,0.1344052,0.02531055,-0.9726515,-0.2519555,0.3720019,0.8933829
656.8206,100,0.187459,0.1343862,0.02501841,-0.9727145,-0.2520589,0.3714125,0.8935989
656.8488,101,0.1873676,0.1343056,0.02470031,-0.9727514,-0.2520359,0.3711589,0.8937108
656.8765,102,0.1872713,0.1342705,0.0245126,-0.9727796,-0.2520502,0.37093,0.8938018
656.9181,103,0.187349,0.1344093,0.0240337,-0.9727574,-0.2524899,0.370951,0.8936689
656.9462,104,0.1874283,0.1346843,0.02394351,-0.9727063,-0.2530411,0.3710751,0.8934615
656.9878,105,0.1874863,0.1349655,0.02443435,-0.9726439,-0.2533845,0.3713104,0.8932664
657.0158,106,0.1872603,0.1351145,0.02454098,-0.9726641,-0.253651,0.3709144,0.8933553
657.0439,107,0.1867817,0.1350474,0.02474246,-0.9727603,-0.2534947,0.3700705,0.8937495
657.085,108,0.1862395,0.1348247,0.02472184,-0.9728957,-0.2531323,0.3690495,0.8942743
657.1136,109,0.1860571,0.1346908,0.02463857,-0.9729512,-0.2529268,0.3686862,0.8944823
657.1418,110,0.1858239,0.1345087,0.02495851,-0.9730128,-0.2524816,0.3683324,0.8947538
657.1814,111,0.1851917,0.1343907,0.02529604,-0.9731409,-0.2521929,0.3672344,0.8952863
657.2104,112,0.1850078,0.1343084,0.02558235,-0.9731798,-0.2519466,0.3669635,0.8954667
657.2521,113,0.1849597,0.1341454,0.02619905,-0.973195,-0.2514078,0.3670326,0.8955898
657.2808,114,0.1847644,0.1339926,0.02632921,-0.9732497,-0.2510871,0.3666997,0.8958162
657.3218,115,0.1846284,0.133742,0.02652286,-0.9733047,-0.2505497,0.3664938,0.8960509
657.3503,116,0.1847601,0.1336143,0.02657197,-0.9732959,-0.2502735,0.3667533,0.8960218
657.3777,117,0.1849043,0.1334042,0.02715494,-0.9732813,-0.2496375,0.3671729,0.8960274
657.4191,118,0.1852278,0.1322932,0.02887111,-0.973322,-0.2468322,0.3682116,0.8963783
657.4475,119,0.1854783,0.1311839,0.03008902,-0.9733876,-0.2442238,0.368979,0.8967772
657.4758,120,0.1854461,0.130233,0.03095846,-0.9734941,-0.2420799,0.369125,0.8972982
657.5168,121,0.184944,0.1290379,0.03173172,-0.9737238,-0.2395573,0.3683578,0.8982899
657.545,122,0.1850482,0.1286791,0.03189505,-0.9737462,-0.2387973,0.3685884,0.8983977
657.5866,123,0.1851893,0.1286593,0.03184761,-0.9737235,-0.2387614,0.3688414,0.8983034
657.6147,124,0.1851183,0.1290471,0.03161669,-0.9736932,-0.2395988,0.3686569,0.8981562
657.643,125,0.1851577,0.1295278,0.03157705,-0.9736232,-0.240529,0.3687278,0.8978784
657.6843,126,0.1852542,0.1299909,0.03157278,-0.9735432,-0.2414055,0.3689143,0.8975665
657.7125,127,0.1852159,0.1301036,0.03165948,-0.9735326,-0.2415925,0.3688654,0.8975363
657.7539,128,0.1851315,0.1295712,0.03158839,-0.9736221,-0.2406108,0.3686821,0.8978752
657.7823,129,0.185106,0.128968,0.03139671,-0.9737132,-0.2395322,0.3685786,0.8982061
657.8102,130,0.1851352,0.1285141,0.03137212,-0.9737684,-0.2386698,0.3686211,0.8984182
657.8522,131,0.184965,0.1279885,0.0315492,-0.9738643,-0.2376158,0.3683375,0.8988138
657.8798,132,0.1848109,0.1277613,0.03158687,-0.9739221,-0.237184,0.3680541,0.8990439
657.9213,133,0.1846128,0.1275063,0.03147398,-0.9739967,-0.2367605,0.3676508,0.8993205
657.9492,134,0.1845764,0.1273611,0.03145508,-0.9740232,-0.2364936,0.3675757,0.8994214
657.9775,135,0.1847024,0.1272409,0.031292,-0.9740204,-0.236311,0.3677711,0.8993895
658.019,136,0.1850116,0.127056,0.03123854,-0.9739876,-0.2359429,0.368336,0.899255
658.0475,137,0.18528,0.1270225,0.0310908,-0.9739456,-0.235905,0.3688038,0.8990732
658.0884,138,0.1856077,0.127054,0.03103446,-0.9738809,-0.2359505,0.3694057,0.8988141
658.1169,139,0.1857464,0.1270441,0.03107418,-0.9738545,-0.235901,0.3696755,0.8987162
658.1449,140,0.1857785,0.1270824,0.03083831,-0.9738509,-0.2360604,0.3696791,0.8986728
658.1862,141,0.1855008,0.1269865,0.03082594,-0.9739167,-0.2359121,0.3691535,0.8989278
658.2142,142,0.185046,0.1267795,0.03073503,-0.9740331,-0.2356001,0.368275,0.8993699
658.243,143,0.1844052,0.1264116,0.03062056,-0.974206,-0.2350087,0.3670389,0.9000297
658.2839,144,0.1831928,0.125644,0.03028535,-0.9745444,-0.2337952,0.3646694,0.901308
658.3136,145,0.1821482,0.1247737,0.03016724,-0.9748557,-0.2322828,0.3626646,0.9025071
658.353,146,0.1803274,0.1230024,0.02950776,-0.9754393,-0.2293206,0.359056,0.9047049
658.3818,147,0.1794585,0.12166,0.02913311,-0.9757791,-0.2269702,0.3573123,0.905987
658.4122,148,0.1786737,0.1202623,0.02866228,-0.9761102,-0.2245361,0.3557045,0.9072254
658.4507,149,0.1782394,0.1181962,0.02808891,-0.9764587,-0.2208143,0.3547268,0.9085208
658.4789,150,0.1785497,0.1171864,0.02782528,-0.9765312,-0.2189359,0.3552403,0.9087747
658.5205,151,0.1790941,0.1160195,0.02773989,-0.9765732,-0.2166671,0.3562338,0.9089295
658.5487,152,0.1793317,0.1155634,0.02739652,-0.9765934,-0.2158909,0.3566003,0.9089705
658.5778,153,0.1796318,0.1154258,0.02720482,-0.9765599,-0.2156667,0.3571227,0.9088186
658.6183,154,0.1797762,0.1156795,0.02653663,-0.9765217,-0.2163858,0.3572502,0.9085976
658.6478,155,0.1798252,0.1161292,0.02585997,-0.9764774,-0.2174946,0.3571967,0.9083537
658.688,156,0.1800589,0.1170457,0.02544253,-0.9763359,-0.2193896,0.3575517,0.9077582
658.7169,157,0.1801059,0.1176809,0.02531902,-0.976254,-0.2206528,0.3576173,0.9074261
658.7448,158,0.1800109,0.1183082,0.02523256,-0.976198,-0.2219001,0.357423,0.9071985
658.7851,159,0.1796691,0.1187805,0.0255369,-0.9761958,-0.2227296,0.356851,0.9072204
658.8146,160,0.1795442,0.118797,0.02571955,-0.976212,-0.2227065,0.3566571,0.9073023
658.8548,161,0.1794961,0.1184073,0.02570609,-0.9762685,-0.2219663,0.3565603,0.9075217
658.8842,162,0.1793651,0.1178985,0.02589579,-0.9763491,-0.2209306,0.3563521,0.9078562
658.9127,163,0.1792741,0.1175376,0.02596242,-0.9764076,-0.2202205,0.3561923,0.9080914
658.952,164,0.1793942,0.1169818,0.02622113,-0.9764453,-0.2190448,0.3564721,0.9082659
658.9822,165,0.1794461,0.1166938,0.02634458,-0.976467,-0.2184404,0.3565948,0.9083633
659.0217,166,0.1792368,0.1164207,0.02639291,-0.9765366,-0.217917,0.356208,0.9086408
659.051,167,0.1789022,0.1161631,0.02656815,-0.976624,-0.2173891,0.3556128,0.9090003
659.0789,168,0.1786693,0.1159268,0.02665952,-0.9766922,-0.216923,0.3551909,0.9092765
659.119,169,0.1780542,0.1156643,0.02685092,-0.9768303,-0.2164069,0.3540689,0.9098369
659.1487,170,0.177493,0.1153771,0.02705435,-0.9769609,-0.2158339,0.3530503,0.9103687
659.189,171,0.1766225,0.1149357,0.02703164,-0.9771713,-0.215075,0.3513946,0.9111885
659.2182,172,0.1758571,0.114766,0.02693183,-0.9773319,-0.2148567,0.3499233,0.911806
659.2471,173,0.1751713,0.1146375,0.02697437,-0.9774691,-0.214659,0.3486336,0.9123465
659.2863,174,0.1739391,0.1144881,0.02684442,-0.9777101,-0.2145338,0.3462708,0.9132753
659.3157,175,0.1728365,0.1142179,0.02686444,-0.9779367,-0.2141094,0.3441831,0.9141636
659.3564,176,0.1709341,0.1133909,0.02725159,-0.9783565,-0.2125571,0.3406491,0.9158481
659.3848,177,0.1696309,0.1124997,0.02735218,-0.9786833,-0.2109237,0.338184,0.9171383
